Country,Province/State,Study Pop Size (N),Proportion of values entered in row (%),Study Type: Observational or Randomized Clinical Trial (RCT)?,Study length (days),Overall study population or subgroup?,Subgroup,Positive/negative cases,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
China,Wuhan,15,0.4213,Observational,50,Subgroup,Scans done >2 weeks after symptom onset,Positive only,Both,Both,No,Both,All,Both,49.5,49.5,11,,,,0.47,0,0,1,0,0,0.6,0.6,,,,,,,,,,,,,,0.2,0.13,0.13,0.07,0.13,0,0.13,0.07,0,0.2,0.93,,38.5,,0.8,0.8,0.07,0.4,0.13,0.13,,0.07,0,0,,,,,0,,,,1,8.2,4,12.4,1.1,0.8,1.4,,,230.5,95.7,365.3,,,,124.8,115.7,133.9,,,50.6,37.8,,,,,58.4,,49.8,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.07,
China,Zhejiang,149,0.5056,Observational,29,Top-level,General,Positive only,Survivors only,Both,Yes,Non-ICU only,Mild only,Both,45.11,45.11,,,,0,0.544,0,0,1,0,0,0.899,0.5369,0.3289,,,,,6.83,6.83,1.83,11.83,,,23.75,,0.349,,,,,0.0134,,0.1879,,,0.765,37.86,,,0.584,0.0134,0.0872,0.322,0.0336,,,0.0738,0.0134,,0.1409,0.1409,,,,,,,,4.56,2.08,6.64,1.21,0.53,1.89,,,174.5,96.25,252.75,2.6,0.57,4.63,,,,,41.65,20,23,9.9,3.95,15.85,3.8,66.07,76.5,7.25,5.83,,,0.22,12.2,0.2282,0.9396,,,,,,,,0.0336,0.1275,,0.8993,0.8993,0.0134,0,0,0.0336,,,,,,,,,,,,,,,,,1,0,0.49,,,,0,0
China,Wuhan,21,0.3708,Observational,25,Top-level,Non-severe,Positive only,Both,Discharged only,No,ΝΑ,Mild only,Both,40,40,9,30,57,,0.29,0,0,1,0,0,,,,,,,,,6,5,7,,,,,,,,,,,,,,,0.86,,,,0.57,,,,0.24,0.52,,,,0.43,,0.29,,,,0,0,0,1,4.9,4.1,5.7,1.4,1,1.8,,,,,,3.1,,,,,,,,42,32,,,,,,,17.2,,,,0.93,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,,1,,17,,0,0
China,Beijing,77,0.5,Observational,17,Top-level,General,Positive only,Both,Both,No,ΝΑ,All,,52,52,20,,,0.026,0.4416,0,0,1,0,0,0.896,0.701,0.195,4,4,3.5,6,5,5,3,6,,,,,0.312,0.208,0.078,0.117,0.0779,0.052,,0.026,0.065,,0.857,,,,0.6364,0.208,0.13,,0.273,0.273,,0.013,0.0779,0.091,0.065,,,,0,0.2597,,,1,4.04,3.48,5.58,,,,,,190,149,245,,,,137,125,145,,,28,29,,,,,64,80,17,,,0.12,,12.7,,,,,,,,,,,,,,,,,,,,,,,,0.039,,0.026,0.013,0.3247,,,0.026,0.039,,,1,,0.83,,13,,0.06,0.07
China,Beijing,57,0.5112,Observational,17,Subgroup,Non-severe,Positive only,Both,Both,No,ΝΑ,Mild only,,45,45,17,,,0.035,0.404,0,0,1,0,0,0.912,0.772,0.14,5,5,3.5,6,5,5,4,6,,,,,0.246,0.14,0.07,0.053,0.053,0.053,,0.018,0.035,,0.825,,,,0.579,0.14,0.175,,0.333,0.333,,0.018,0.053,0.07,0.09,,,,0,0,0,0,1,3.95,3.45,4.64,,,,,,189,152,245,,,,139,127,144,,,28,28,,,,,63,67,13,,,0.1,,12.7,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0.333,,,0.018,0,,,1,,0.93,,12,,0,0
China,Beijing,20,0.5,Observational,17,Subgroup,Severe,Positive only,Both,Both,No,ΝΑ,Severe/Critical Only,,69,69,15,,,0,0.55,0,0,1,0,0,0.85,0.5,0.35,3.5,3.5,3,4,6,6,5,7,,,,,0.5,0.4,0.1,0.3,0.15,0.05,,0.05,0.15,,0.95,,,,0.8,0.4,0,,0.1,0.1,,0,0.15,0.15,0,,,,0,1,,,1,5.92,3.68,7.59,,,,,,198,134,272,,,,137,119,148,,,32,36,,,,,68,115,55,,,0.13,,12.7,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.1,0.05,0.3,,,0.05,0.15,,,1,,0.5,,18.5,,0.25,0.33
China,Wuhan,36,0.4326,Observational,19,Top-level,Severe,Positive only,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,69.4,69.4,21.16,,,,0.833,0,0,1,0,0,,,,,,,,,,,,,,,,,0.389,0.278,0.333,0.194,0.056,,5.6,,0.083,,,,,,1,,,,,,,,,,,,,,,0,1,0,14,6.9,21.1,0.6,0.3,0.9,,,156,99.8,213,12.7,6,19.4,122.4,104.3,140.5,,,34.5,30.5,,,,10.7,83.5,,,,,,,,0.944,,0.278,0,0,,0.278,0.778,0.083,0.806,0.806,,,,0,1,,0.611,,,,,,,,0.1944,,,,,0.2222,,,,1,1,,,,,0.64,
China,Wuhan,22,0.4213,Observational,19,Subgroup,CCRT group,Positive only,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,67.5,67.5,11.4,,,,0.864,0,0,1,0,0,,,,,,,,,,,,,,,,,0.364,0.273,0.273,0.182,0.091,,0,,0.136,,,,,,1,,,,,,,,,,,,,,,,1,0,14.3,5.8,22.8,0.6,0.3,0.9,,,159,94,203,13,5,21,126.8,108.2,145.4,,,36,43.5,,,,10.8,94.5,,,,,,,,0.96,,0.364,0,0,,0.364,0.773,0.091,0.773,0.773,,,,0,1,,1,,,,,,,,0.227,,,,,0.227,,,,1,1,,,,,0.55,
China,Wuhan,14,0.4157,Observational,19,Subgroup,Non-CCRT group,Positive only,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,72.6,72.6,9.1,,,,0.786,0,0,1,0,0,,,,,,,,,,,,,,,,,0.429,0.286,0.429,0.214,0,,0.143,,,,,,,,1,,,,,,,,,,,,,,,,1,0,13.4,9,17.8,0.6,0.3,0.9,,,156,110.3,221.5,12.2,8,16.4,115.5,105,131,,,30.5,29.5,,,,10.3,72,,,,,,,,0.93,,0.143,0,0,,0.143,0.786,0.071,0.857,0.857,,,,0,1,,0,,,,,,,,0.143,,,,,0.214,,,,1,1,,,,,0.79,
Italy,tionwide,3200,0.3483,Observational,19,Subgroup,Severe,Positive only,Non-survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,,80,80,,73,85,,0.706,1,0,0,0,0,,,,,,,,4,,,,,,,,0.988,0.738,0.339,0.301,0.137,0.195,0.037,,0.202,0.037,0.76,,,,0.4,0.73,,,,,,0.08,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.54,,,,,,,,,,,,,,,,,,,,0.965,,0.965,,,,,,0.104,0.292,0.085,,,1,0.5,0,5,4,,1,1
China,Zhejiang,91,0.4607,Observational,27,Top-level,General,Positive only,Survivors only,Both,Yes,,All,,50,,,36.5,57,0,0.4066,0,0,1,0,0,0.989,0.3407,0.0879,,6,,,,,,,,,,,,0.1648,0.0879,,,,,,,,0.7143,,,,0.6044,0.033,0.0769,0.3297,0.0549,0.4396,,0.2308,0.0659,0.2527,,,,,,0.901,0.099,,1,4.99,4.25,5.69,1.35,0.98,1.66,,,196,142,238,2.91,,,135,125,145,,40,18,21,,,,3.95,66,,6.81,,,0.02,0.3,,,1,1,0,0,,1,1,0,0.0989,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1,0.34,,,,0,0
China,Zhejiang,9,0.3315,Observational,27,Subgroup,Severe,Positive only,Survivors only,Both,,,Severe/Critical Only,,66,,,54,80,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,5.23,3,5.82,0.9,0.7,1.3,,,152,127,208,3.32,,,130,118,142,,,19.9,27,,,,5.19,81.5,,30.63,,,0,0.45,,,1,1,0,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,
China,Zhejiang,82,0.3315,Observational,27,Subgroup,Mild Cases,Positive only,Survivors only,Both,,,Mild only,,49,,,35.3,56,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,1,4.97,4.02,5.65,1.4,1.05,1.75,,,198,144,248,2.8,,,135,126,147,,,18,21,,,,3.83,66,,5.98,,,0.03,0.3,,,1,1,0,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,
China,Seven hospitals,62,0.5449,Observational,16,Top-level,General,Positive only,Both,Both,Yes,Both,All,Both,41,41,,32,52,,0.565,0,0,1,0,0,0.37,0.37,0.339,4,4,3,5,2,2,1,4.3,,,,,0.323,0.081,0.016,,0.016,,0.113,0.016,0.016,,0.77,,,0.03,0.81,0.03,0.34,0.565,0.52,0.52,,0.08,,,,,,,,,,,1,4.7,3.5,5.8,1,0.8,1.5,,,176,135.8,215.5,2.9,,,137,128.8,152.3,,,22,26,,,,,72,69,,,,0.04,0.2,,0.452,0.887,0.742,0,0,,0.339,0.355,0,0.26,0,,,,0,0.0161,,0,0.42,0,,,,0.02,,,,,,,,,,,0.98,0.02,0.02,,,,0,
China,Seven hospitals,33,0.5449,Observational,16,Subgroup,> 10 days after onset,Positive only,Both,Both,Yes,Both,All,Both,45,45,,37,54,,0.576,0,0,1,0,0,0.27,0.27,0.273,3,3,3,4,6.5,6.5,5,9,,,,,0.394,0.121,0.03,,0.03,,0.121,0.03,0,,0.73,,,0.03,0.82,0.06,0.45,0.576,0.58,0.58,,0.09,,,,,,,,,,,1,4.5,3.1,6.1,1,0.7,1.4,,,172.5,128.8,202.8,2.8,,,137.5,129,149.5,,,22.5,27.5,,,,,71.5,60,,,,0.04,0.2,,0.485,0.939,0.81,0,0,,0.515,0.515,0,0.33,0,,,,0,0.03,,0,0.33,0,,,,0.03,,,,,,,,,,,0.97,0.03,0.03,,,,0,
China,Seven hospitals,29,0.5449,Observational,16,Subgroup,<=10 days after onset,Positive only,Both,Non-discharged only,Yes,Both,All,Both,39,39,,31,50,,0.552,0,0,1,0,0,0.48,0.48,0.414,5,5,4,7,2,2,1,2,,,,,0.241,0.034,0,,0,,0.103,0,0.034,,0.83,,,0.03,0.79,0,0.21,0.552,0.45,0.45,,0,,,,,,,,,,,1,4.9,3.9,5.7,1,0.9,1.5,,,186,149,228,2.9,,,136.5,127.3,153.8,,,22,25,,,,,71.4,71.4,,,,0.04,0.2,,0.414,0.828,0.65,0,0,,0.138,0.172,0,0.17,0,,,,0,0,,0,0.51,0,,,,0,,,,,,,,,,,1,0,0,,,,0,
China,Guangzhou,33,0.309,Observational,43,Top-level,General,Positive only,Both,Both,Yes,ΝΑ,All,,43.7,43.7,,,,,0.4903,0,0,1,0,0,,,,,,,,,,,,,,,,0.1224,0.1633,0.1428,0.1428,0.0206,0,0.0812,,0.0812,0.102,,,,,,,,,,,,,,,,,,,,,0.3263,,,5.24,,,1.67,,,,,196.12,,,,,,,,,,,,,9.33,,,,,,,,,,,,0.6128,1,1,0,0,,0,0,0,0.184,0.7148,,0.3263,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,0,
China,Guangzhou,16,0.3708,Observational,43,Subgroup,Combination therapy group,Positive only,Both,Both,Yes,ΝΑ,All,,41.8,41.8,,,,,0.438,0,0,1,0,0,,,,,,,,,,,,,,,,0.125,0.188,0.125,0.125,0,0,0.062,,0.062,0.125,,,,,,,,,,,,,,,,,,,,,0.312,,0,5.34,3.52,7.16,1.83,1.01,2.65,,,194.8,139.7,249.9,,,,,,,,,,,9.23,4.26,14.2,,,,,,,,,,0.563,1,1,0,0,,0,0,0,0.062,0.688,,0.312,,,0,,,,,,,,,,,,,,,,,,,1,,0.94,,,,0,0
China,Guangzhou,17,0.3708,Observational,23,Subgroup,Monotherapy group,Positive only,Both,Both,Yes,ΝΑ,All,,47.25,47.25,,,,,0.588,0,0,1,0,0,,,,,,,,,,,,,,,,0.1176,0.117,0.176,0.176,0.059,0,0.117,,0.117,0.059,,,,,,,,,,,,,,,,,,,,,0.353,,0,5.04,3.96,6.12,1.36,0.84,1.88,,,198.6,121.4,275.8,,,,,,,,,,,9.51,4.65,14.37,,,,,,,,,,0.706,1,1,0,0,,0,0,0,0.412,0.765,,0.353,,,0,,,,,,,,,,,,,,,,,,,1,,0.53,,,,0,0
China,Jiangsu,620,0.5899,Observational,39,Top-level,General,Positive only,Both,Both,Yes,Both,All,,44.48,44.48,17.16,,,,0.526,0,0,1,0,0,0.8984,0.35,0.415,6.91,6.91,,,,4.23,,,0.0403,0.0484,,,,0.1548,0.0645,0.021,,0.011,0.005,,0.006,0.01,0.6597,37.05,,,0.5532,0.0258,,0.2661,,,,0.0856,,0.019,,,,,0.1565,0.7581,0.053,0.032,0,5.21,3.24,7.18,1.36,0.72,2,616.07,427.15,190.47,127.4,253.54,3.36,1.6,5.16,135.33,115.86,154.8,0.4,41.25,31.03,32.26,10.59,3.94,17.24,4.19,67.91,127.44,21.25,,0.32,,0.52,12.44,0.5355,0.929,,,,,,,,0.229,0.252,0.348,0.029,,0.053,0.008,0,0,0.81,0.231,,,0.0855,,,,0.0032,,,,,,,,1,0.03,0.41,,,,0,0
