Subgroup,Study Pop Size (N),Proportion of values entered in row (%),Study length (days),Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
63yo Man (C3),1,0.5225,15,63,63,12.5051,63,63,0.1951,1,0.0976,0.0198,0.877,0.008,0.0077,1,0,1,6.6372,5.9596,4.2384,8.2039,1,1,1,1,0.1019,0.0905,25.4143,0.224,0,0,0,0,0,0,0,0,0,0,1,37.9757,38.468,1,1,0.2963,0.1224,1,0.2247,0,0,1,0.1048,0.1281,0,0.1659,0.1242,0.0429,0,0,1,0,100,4.4,4.4,4.4,24.5,24.5,24.5,311.5119,210.0112,184.9906,143.5127,232.3308,50,50,50,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,96.7435,39.318,24.443,35.3991,2.0394,82.3308,12.7423,1,1,1,0,0,0,0.0966,1,0,0,0,1,1,1,0,0,0.0379,0.0883,0.6237,0.1518,0,0,0,0,0,0,0,0,0,0,0,0,0.0498,0.0495,0.9475,0.3354,0,6.9554,15.3569,14.9137,0,0
63yo Man (C4),1,0.5225,13,63,63,12.5051,63,63,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,5,5,5,5,0.1019,0.0905,25.4143,0.224,0.4903,0,0,0,1,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,0,0,0.1281,0.2127,0,0.1242,0,0,0,0,1,1,6.79,6.79,6.79,0.26,0.26,0.26,18.7,10.9,119,119,119,6.31,6.31,6.31,119.1249,109.3857,130.8263,23.0078,35.1,62,107,11.2484,7.2282,16.2174,9.81,65.2408,876,89.94,24.443,35.3991,9.18,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,1,1,0.4612,0.414,0.6681,1,1,0.0379,0.0883,0.6237,0.1518,0.1073,1,1,1,0.1082,1,1,1,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,1,0,6.9554,15.3569,14.9137,0.17,0.2327
63yo Woman (C4),1,0.5225,15,63,63,12.5051,63,63,0.1951,0,0.0976,0.0198,0.877,0.008,0.0077,1,1,0,6.6372,5.9596,4.2384,8.2039,2,2,2,2,0.1019,0.0905,25.4143,0.224,0,0,0,0,0,0,0,0,0,0,1,37.9757,38.468,0,1,0.2963,0.1224,0,0.2247,0,0,0,0.1048,0.1281,0,0.1659,0.1242,0.0429,0,0,1,0,100,6.84,6.84,6.84,6.1,6.1,6.1,311.5119,210.0112,184.9906,143.5127,232.3308,93,93,93,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,96.7435,39.318,24.443,35.3991,2.0394,82.3308,12.7423,1,1,1,0,0,0,0.0966,1,0,0,0,1,1,1,0,1,0.0379,0.0883,0.6237,0.1518,0,0,0,0,0,0,0,0,0,0,0,0,0.0498,0.0495,0.9475,0.3354,0,6.9554,15.3569,14.9137,0,0
63yo Woman (C5),1,0.5169,13,63,63,12.5051,63,63,0.1951,0,0,0,1,0,0,1,0,1,6.6372,5.9596,4.2384,8.2039,8,8,8,8,0.1019,0.0905,25.4143,0.224,0.4903,0,0,0,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,1,0.34,0.1423,0,0,0.1281,0.2127,1,0.1242,0,0,0,0,1,1,6.71,6.71,6.71,0.77,0.77,0.77,30.9,23,215,215,215,5.43,5.43,5.43,119.1249,109.3857,130.8263,23.0078,38.3,45.3,26.2,11.2484,7.2282,16.2174,4.8,65.2408,96.7435,53.6,24.443,35.3991,0.03,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,1,0.4612,0.414,0.6681,1,0,0.0379,0.0883,0.6237,0.1518,0.1073,1,0,1,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,1,0,6.9554,15.3569,14.9137,0.17,0.2327
65yo Woman (C1),1,0.5225,13,65,65,12.5051,65,65,0.1951,0,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,8,8,8,8,0.1019,0.0905,25.4143,0.224,0.4903,1,0,1,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,1,0.34,0.1423,0,0,0.1281,0.2127,1,0.1242,0,0,0,1,0,1,4.31,4.31,4.31,0.88,0.88,0.88,47.3,16.7,161,161,161,3.13,3.13,3.13,119.1249,109.3857,130.8263,23.0078,36.8,26.6,26.7,11.2484,7.2282,16.2174,2.87,65.2408,46,52.6,24.443,35.3991,0.05,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,1,0,0.0379,0.0883,0.6237,0.1518,0.1073,1,0,1,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0,6.9554,15.3569,14.9137,0.17,0.2327
65yo Woman (C10),1,0.5169,13,65,65,12.5051,65,65,0.1951,0,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,16,16,16,16,0.1019,0.0905,25.4143,0.224,0.4903,0,1,0,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,0,0,0.1281,0.2127,0,0.1242,0,0,0,0,1,1,5.89,5.89,5.89,0.42,0.42,0.42,34.9,14.3,118,118,118,5.35,5.35,5.35,119.1249,109.3857,130.8263,23.0078,34.6,15.7,52,11.2484,7.2282,16.2174,4.48,65.2408,96.7435,33.2,24.443,35.3991,0.08,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,1,1,0.4612,0.414,0.6681,1,1,0.0379,0.0883,0.6237,0.1518,0.1073,1,1,1,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,1,0,6.9554,15.3569,14.9137,0.17,0.2327
66yo Man (C2),1,0.5225,13,66,66,12.5051,66,66,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,7,7,7,7,0.1019,0.0905,25.4143,0.224,0.4903,1,0,1,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,1,0.34,0.1423,0,1,0.1281,0.2127,1,0.1242,0,0,0,0,1,1,5.24,5.24,5.24,1.21,1.21,1.21,45.8,16.5,118,118,118,3.53,3.53,3.53,119.1249,109.3857,130.8263,23.0078,39.5,26.5,33.6,11.2484,7.2282,16.2174,5.37,65.2408,118,38.6,24.443,35.3991,0.04,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,1,1,0.4612,0.414,0.6681,1,1,0.0379,0.0883,0.6237,0.1518,0.1073,1,1,1,0.1082,0,0,1,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,1,0,6.9554,15.3569,14.9137,0.17,0.2327
72yo Man (C11),1,0.5,13,72,72,12.5051,72,72,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,16,16,16,16,0.1019,0.0905,25.4143,0.224,0.4903,1,0,1,0,0,0,0,1,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,0,0,0.1281,0.2127,0,0.1242,0,0,0,1,0,1,4.99,4.99,4.99,1.5565,1.3256,2.0002,50.7,17,99,99,99,3.73,3.73,3.73,119.1249,109.3857,130.8263,23.0078,42.6,29,42.1,11.2484,7.2282,16.2174,6.89,65.2408,96.7435,85,24.443,35.3991,0.22,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,0,0,0.0379,0.0883,0.6237,0.1518,0.1073,0,0,0,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0,6.9554,15.3569,14.9137,0.17,0.2327
<= 3 day course of disease group,48,0.5955,45,72,50.7516,12.5051,59,78,0.1951,0.58,0,0,1,0,0,1,1,0.3689,6.6372,5.9596,4.2384,8.2039,6.6032,6.9997,5.1176,10.8354,0.1019,0.0905,25.4143,0.224,0.77,0.54,0.19,0.1875,0.08,0.06,0.19,0.08,0.04,0,0.79,37.9757,38.468,0.2547,0.48,0.58,0.02,0.2766,0.02,0.4,0.1423,0.08,0.02,0.1281,0.2127,0.1659,0.1242,0.0429,0,0,0,1,1,12.36,11.11,13.61,0.7,0.62,0.78,203.3,120.7,185.2,163.95,206.45,11.23,6.771,9.8298,119.1249,109.3857,130.8263,23.0078,32.32,88.64,219.2,28.94,16.95,40.93,15.2,172.5,96.7435,123.4,24.443,35.3991,2.26,21.28,18.73,0.98,0.9792,0,0,0,0.1982,0,0.9792,0,0.3542,0,0,0.7292,0.7292,0.2292,0.1667,0,0.0417,0,0,0.1073,0.3691,0.9792,0.261,0.1082,0.5833,0.0982,0.1875,0.0833,0.1364,0.25,0.1314,0.0498,0.0495,1,0.3354,0,6.9554,2,14.9137,1,1
<= 5 years old,10,0.3034,44,52.2121,50.7516,12.5051,43.5597,60.5411,0.1951,0.6,0,0,1,0,0,1,0.2,1,6.6372,5.9596,4.2384,8.2039,6.6032,6.9997,5.1176,10.8354,0.1019,0.0905,25.4143,0.224,0.4903,0.2976,0.161,0.1464,0.0698,0.0731,0.037,0.1027,0.0462,0.159,0.3,37.7,38.468,0.2547,0.1,0.2963,0.1224,0.2766,0.2247,0.34,0.1423,0.1494,0.1048,0.1281,0.2127,0.1659,0.1242,0.0429,0.0766,1,0.2956,0.3012,0,6.5,4.3,8.7,2.9,1.8,4,311.5119,210.0112,184.9906,143.5127,232.3308,6.8055,6.771,9.8298,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,124,4,24.443,35.3991,0.13,0.2,12.7423,0.7431,0.8458,0.1,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0.3387,0.2462,0.4612,0.414,0.1,0,0,0.0379,0.0883,1,0.1518,0.1073,0.3691,0.2604,0.261,0.1082,0.0956,0.0982,0.1817,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0.5124,6.9554,13,9,0,0.2327
